Domain,DR,Traffic,Status,Contact,Link Type
architecturalrecord.com,85,50000,PENDING,Email,Guest Post
interiordesignmag.com,72,30000,PENDING,Contact Form,Mention
designboom.com,95,100000,PROSPECT,Email,Backlink
archilovers.com,65,15000,OUTREACH,Email,Directory
constructionweekly.ae,45,5000,PENDING,Email,Industry Link
realestate.ae,50,8000,OUTREACH,Contact,Local Link
dubaiarc.com,38,2000,LINKED,Direct,Local Partnership
sharjahdirectory.ae,35,1000,LINKED,Form,Local Listing
uaebusiness.com,42,3000,OUTREACH,Email,Business Directory
homeimprovement.ae,48,4000,PENDING,Contact,Niche Link
