Keyword,Topic,Type,Status,PublishDate,Owner,URL
porcelain tiles dubai,Porcelain Tiles Guide,Service Page,IN PROGRESS,2024-07-05,Writer,/porcelain-tiles/
ceramic vs porcelain,Ceramic vs Porcelain,Blog Post,OUTLINE READY,2024-07-10,Writer,/blog/ceramic-vs-porcelain/
bathroom tiles,Bathroom Tile Ideas,Blog Post,RESEARCH,2024-07-15,Writer,/blog/bathroom-tiles/
tiles dubai,Dubai Tiles City Page,Location,PLANNED,2024-07-20,Writer,/dubai/
floor tiles,Floor Tile Guide,Blog Post,PLANNED,2024-08-01,Writer,/blog/floor-tiles/
installation guide,Installation How-To,Blog Post,PLANNED,2024-08-05,Writer,/blog/installation-guide/
porcelain slabs,Large Format Guide,Product,PLANNED,2024-08-10,Writer,/porcelain-slabs/
tile maintenance,Maintenance Tips,Blog Post,PLANNED,2024-08-15,Writer,/blog/maintenance/
sharjah tiles,Sharjah City Page,Location,PLANNED,2024-08-20,Writer,/sharjah/
outdoor tiles,Outdoor Tiles,Product,PLANNED,2024-09-01,Writer,/outdoor-tiles/
